year,state,state_po,candidate,party_detailed,candidatevotes,totalvotes,party_simplified
2012,ALASKA,AK,"OBAMA, BARACK H.",DEMOCRAT,122640,300495,DEMOCRAT
2012,ALASKA,AK,"ROMNEY, MITT",REPUBLICAN,164676,300495,REPUBLICAN
2012,ALABAMA,AL,"OBAMA, BARACK H.",DEMOCRAT,795696,2074338,DEMOCRAT
2012,ALABAMA,AL,"ROMNEY, MITT",REPUBLICAN,1255925,2074338,REPUBLICAN
2012,ARKANSAS,AR,"OBAMA, BARACK H.",DEMOCRAT,394409,1069468,DEMOCRAT
2012,ARKANSAS,AR,"ROMNEY, MITT",REPUBLICAN,647744,1069468,REPUBLICAN
2012,ARIZONA,AZ,"OBAMA, BARACK H.",DEMOCRAT,1025232,2299254,DEMOCRAT
2012,ARIZONA,AZ,"ROMNEY, MITT",REPUBLICAN,1233654,2299254,REPUBLICAN
2012,CALIFORNIA,CA,"OBAMA, BARACK H.",DEMOCRAT,7854285,13038547,DEMOCRAT
2012,CALIFORNIA,CA,"ROMNEY, MITT",REPUBLICAN,4839958,13038547,REPUBLICAN
2012,COLORADO,CO,"OBAMA, BARACK H.",DEMOCRAT,1323101,2569516,DEMOCRAT
2012,COLORADO,CO,"ROMNEY, MITT",REPUBLICAN,1185243,2569516,REPUBLICAN
2012,CONNECTICUT,CT,"OBAMA, BARACK H.",DEMOCRAT,905083,1558204,DEMOCRAT
2012,CONNECTICUT,CT,"ROMNEY, MITT",REPUBLICAN,634892,1558204,REPUBLICAN
2012,DISTRICT OF COLUMBIA,DC,"OBAMA, BARACK H.",DEMOCRAT,267070,293764,DEMOCRAT
2012,DISTRICT OF COLUMBIA,DC,"ROMNEY, MITT",REPUBLICAN,21381,293764,REPUBLICAN
2012,DELAWARE,DE,"OBAMA, BARACK H.",DEMOCRAT,242584,413890,DEMOCRAT
2012,DELAWARE,DE,"ROMNEY, MITT",REPUBLICAN,165484,413890,REPUBLICAN
2012,FLORIDA,FL,"OBAMA, BARACK H.",DEMOCRAT,4237756,8474179,DEMOCRAT
2012,FLORIDA,FL,"ROMNEY, MITT",REPUBLICAN,4163447,8474179,REPUBLICAN
2012,GEORGIA,GA,"OBAMA, BARACK H.",DEMOCRAT,1773827,3897839,DEMOCRAT
2012,GEORGIA,GA,"ROMNEY, MITT",REPUBLICAN,2078688,3897839,REPUBLICAN
2012,HAWAII,HI,"OBAMA, BARACK H.",DEMOCRAT,306658,437159,DEMOCRAT
2012,HAWAII,HI,"ROMNEY, MITT",REPUBLICAN,121015,437159,REPUBLICAN
2012,IOWA,IA,"OBAMA, BARACK H.",DEMOCRAT,822544,1582180,DEMOCRAT
2012,IOWA,IA,"ROMNEY, MITT",REPUBLICAN,730617,1582180,REPUBLICAN
2012,IDAHO,ID,"OBAMA, BARACK H.",DEMOCRAT,212787,652274,DEMOCRAT
2012,IDAHO,ID,"ROMNEY, MITT",REPUBLICAN,420911,652274,REPUBLICAN
2012,ILLINOIS,IL,"OBAMA, BARACK H.",DEMOCRAT,3019512,5242014,DEMOCRAT
2012,ILLINOIS,IL,"ROMNEY, MITT",REPUBLICAN,2135216,5242014,REPUBLICAN
2012,INDIANA,IN,"OBAMA, BARACK H.",DEMOCRAT,1152887,2624534,DEMOCRAT
2012,INDIANA,IN,"ROMNEY, MITT",REPUBLICAN,1420543,2624534,REPUBLICAN
2012,KANSAS,KS,"OBAMA, BARACK H.",DEMOCRAT,440726,1159971,DEMOCRAT
2012,KANSAS,KS,"ROMNEY, MITT",REPUBLICAN,692634,1159971,REPUBLICAN
2012,KENTUCKY,KY,"OBAMA, BARACK H.",DEMOCRAT,679370,1797212,DEMOCRAT
2012,KENTUCKY,KY,"ROMNEY, MITT",REPUBLICAN,1087190,1797212,REPUBLICAN
2012,LOUISIANA,LA,"OBAMA, BARACK H.",DEMOCRAT,809141,1994065,DEMOCRAT
2012,LOUISIANA,LA,"ROMNEY, MITT",REPUBLICAN,1152262,1994065,REPUBLICAN
2012,MASSACHUSETTS,MA,"OBAMA, BARACK H.",DEMOCRAT,1921290,3184196,DEMOCRAT
2012,MASSACHUSETTS,MA,"ROMNEY, MITT",REPUBLICAN,1188314,3184196,REPUBLICAN
2012,MARYLAND,MD,"OBAMA, BARACK H.",DEMOCRAT,1677844,2707327,DEMOCRAT
2012,MARYLAND,MD,"ROMNEY, MITT",REPUBLICAN,971869,2707327,REPUBLICAN
2012,MAINE,ME,"OBAMA, BARACK H.",DEMOCRAT,401306,724758,DEMOCRAT
2012,MAINE,ME,"ROMNEY, MITT",REPUBLICAN,292276,724758,REPUBLICAN
2012,MICHIGAN,MI,"OBAMA, BARACK H.",DEMOCRAT,2564569,4730961,DEMOCRAT
2012,MICHIGAN,MI,"ROMNEY, MITT",REPUBLICAN,2115256,4730961,REPUBLICAN
2012,MINNESOTA,MN,"OBAMA, BARACK H.",DEMOCRAT,1546167,2936561,DEMOCRAT
2012,MINNESOTA,MN,"ROMNEY, MITT",REPUBLICAN,1320225,2936561,REPUBLICAN
2012,MISSOURI,MO,"OBAMA, BARACK H.",DEMOCRAT,1223796,2757323,DEMOCRAT
2012,MISSOURI,MO,"ROMNEY, MITT",REPUBLICAN,1482440,2757323,REPUBLICAN
2012,MISSISSIPPI,MS,"OBAMA, BARACK H.",DEMOCRAT,562949,1285584,DEMOCRAT
2012,MISSISSIPPI,MS,"ROMNEY, MITT",REPUBLICAN,710746,1285584,REPUBLICAN
2012,MONTANA,MT,"OBAMA, BARACK H.",DEMOCRAT,201839,484048,DEMOCRAT
2012,MONTANA,MT,"ROMNEY, MITT",REPUBLICAN,267928,484048,REPUBLICAN
2012,NORTH CAROLINA,NC,"OBAMA, BARACK H.",DEMOCRAT,2178391,4505372,DEMOCRAT
2012,NORTH CAROLINA,NC,"ROMNEY, MITT",REPUBLICAN,2270395,4505372,REPUBLICAN
2012,NORTH DAKOTA,ND,"OBAMA, BARACK H.",DEMOCRAT,124966,322932,DEMOCRAT
2012,NORTH DAKOTA,ND,"ROMNEY, MITT",REPUBLICAN,188320,322932,REPUBLICAN
2012,NEBRASKA,NE,"OBAMA, BARACK H.",DEMOCRAT,302081,794379,DEMOCRAT
2012,NEBRASKA,NE,"ROMNEY, MITT",REPUBLICAN,475064,794379,REPUBLICAN
2012,NEW HAMPSHIRE,NH,"OBAMA, BARACK H.",DEMOCRAT,369561,710972,DEMOCRAT
2012,NEW HAMPSHIRE,NH,"ROMNEY, MITT",REPUBLICAN,329918,710972,REPUBLICAN
2012,NEW JERSEY,NJ,"OBAMA, BARACK H.",DEMOCRAT,2122786,3638499,DEMOCRAT
2012,NEW JERSEY,NJ,"ROMNEY, MITT",REPUBLICAN,1478088,3638499,REPUBLICAN
2012,NEW MEXICO,NM,"OBAMA, BARACK H.",DEMOCRAT,415335,783758,DEMOCRAT
2012,NEW MEXICO,NM,"ROMNEY, MITT",REPUBLICAN,335788,783758,REPUBLICAN
2012,NEVADA,NV,"OBAMA, BARACK H.",DEMOCRAT,531373,1014918,DEMOCRAT
2012,NEVADA,NV,"ROMNEY, MITT",REPUBLICAN,463567,1014918,REPUBLICAN
2012,NEW YORK,NY,"OBAMA, BARACK H.",DEMOCRAT,4324228,7116784,DEMOCRAT
2012,NEW YORK,NY,"ROMNEY, MITT",REPUBLICAN,2223397,7116784,REPUBLICAN
2012,OHIO,OH,"OBAMA, BARACK H.",DEMOCRAT,2827621,5580822,DEMOCRAT
2012,OHIO,OH,"ROMNEY, MITT",REPUBLICAN,2661407,5580822,REPUBLICAN
2012,OKLAHOMA,OK,"OBAMA, BARACK H.",DEMOCRAT,443547,1334872,DEMOCRAT
2012,OKLAHOMA,OK,"ROMNEY, MITT",REPUBLICAN,891325,1334872,REPUBLICAN
2012,OREGON,OR,"OBAMA, BARACK H.",DEMOCRAT,970488,1789270,DEMOCRAT
2012,OREGON,OR,"ROMNEY, MITT",REPUBLICAN,754175,1789270,REPUBLICAN
2012,PENNSYLVANIA,PA,"OBAMA, BARACK H.",DEMOCRAT,2990274,5742040,DEMOCRAT
2012,PENNSYLVANIA,PA,"ROMNEY, MITT",REPUBLICAN,2680434,5742040,REPUBLICAN
2012,RHODE ISLAND,RI,"OBAMA, BARACK H.",DEMOCRAT,279677,446049,DEMOCRAT
2012,RHODE ISLAND,RI,"ROMNEY, MITT",REPUBLICAN,157204,446049,REPUBLICAN
2012,SOUTH CAROLINA,SC,"OBAMA, BARACK H.",DEMOCRAT,865941,1964118,DEMOCRAT
2012,SOUTH CAROLINA,SC,"ROMNEY, MITT",REPUBLICAN,1071645,1964118,REPUBLICAN
2012,SOUTH DAKOTA,SD,"OBAMA, BARACK H.",DEMOCRAT,145039,363815,DEMOCRAT
2012,SOUTH DAKOTA,SD,"ROMNEY, MITT",REPUBLICAN,210610,363815,REPUBLICAN
2012,TENNESSEE,TN,"OBAMA, BARACK H.",DEMOCRAT,960709,2458577,DEMOCRAT
2012,TENNESSEE,TN,"ROMNEY, MITT",REPUBLICAN,1462330,2458577,REPUBLICAN
2012,TEXAS,TX,"OBAMA, BARACK H.",DEMOCRAT,3308124,7993851,DEMOCRAT
2012,TEXAS,TX,"ROMNEY, MITT",REPUBLICAN,4569843,7993851,REPUBLICAN
2012,UTAH,UT,"OBAMA, BARACK H.",DEMOCRAT,251813,1017440,DEMOCRAT
2012,UTAH,UT,"ROMNEY, MITT",REPUBLICAN,740600,1017440,REPUBLICAN
2012,VIRGINIA,VA,"OBAMA, BARACK H.",DEMOCRAT,1971820,3854489,DEMOCRAT
2012,VIRGINIA,VA,"ROMNEY, MITT",REPUBLICAN,1822522,3854489,REPUBLICAN
2012,VERMONT,VT,"OBAMA, BARACK H.",DEMOCRAT,199239,299290,DEMOCRAT
2012,VERMONT,VT,"ROMNEY, MITT",REPUBLICAN,92698,299290,REPUBLICAN
2012,WASHINGTON,WA,"OBAMA, BARACK H.",DEMOCRAT,1755396,3125516,DEMOCRAT
2012,WASHINGTON,WA,"MITT, ROMNEY",REPUBLICAN,1290670,3125516,REPUBLICAN
2012,WISCONSIN,WI,"OBAMA, BARACK H.",DEMOCRAT,1620985,3071434,DEMOCRAT
2012,WISCONSIN,WI,"ROMNEY, MITT",REPUBLICAN,1410966,3071434,REPUBLICAN
2012,WEST VIRGINIA,WV,"OBAMA, BARACK H.",DEMOCRAT,238269,670438,DEMOCRAT
2012,WEST VIRGINIA,WV,"ROMNEY, MITT",REPUBLICAN,417655,670438,REPUBLICAN
2012,WYOMING,WY,"OBAMA, BARACK H.",DEMOCRAT,69286,250701,DEMOCRAT
2012,WYOMING,WY,"ROMNEY, MITT",REPUBLICAN,170962,250701,REPUBLICAN
2016,ALASKA,AK,"CLINTON, HILLARY",DEMOCRAT,116454,318608,DEMOCRAT
2016,ALASKA,AK,"TRUMP, DONALD J.",REPUBLICAN,163387,318608,REPUBLICAN
2016,ALABAMA,AL,"CLINTON, HILLARY",DEMOCRAT,729547,2123372,DEMOCRAT
2016,ALABAMA,AL,"TRUMP, DONALD J.",REPUBLICAN,1318255,2123372,REPUBLICAN
2016,ARKANSAS,AR,"CLINTON, HILLARY",DEMOCRAT,380494,1130635,DEMOCRAT
2016,ARKANSAS,AR,"TRUMP, DONALD J.",REPUBLICAN,684872,1130635,REPUBLICAN
2016,ARIZONA,AZ,"CLINTON, HILLARY",DEMOCRAT,1161167,2573165,DEMOCRAT
2016,ARIZONA,AZ,"TRUMP, DONALD J.",REPUBLICAN,1252401,2573165,REPUBLICAN
2016,CALIFORNIA,CA,"CLINTON, HILLARY",DEMOCRAT,8753788,14181595,DEMOCRAT
2016,CALIFORNIA,CA,"TRUMP, DONALD J.",REPUBLICAN,4483810,14181595,REPUBLICAN
